k_folds,classifier,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,fit_time_mean_seconds,fit_time_std_seconds
25,RandomForestClassifier,0.5919707162327396,0.1779597566055838,0.4935223894463025,0.1518510892933953,0.19355877468013205,0.017408592957530087
25,SVC,0.5675277428822455,0.191570858574507,0.46509492922536405,0.16752090092454366,0.01060400920046959,0.0005487584351283699
26,KNeighborsClassifier (k=3),0.4483404037131614,0.17284312226811752,0.5073280885780885,0.1900462467334726,0.0011464692691403728,0.00020819935031986175
26,MLPClassifier,0.6045724241967247,0.15360906821724699,0.5312202290463159,0.17980272773905934,0.32480267303953253,0.051310556888243535
26,RandomForestClassifier,0.603222811080209,0.22455384575795653,0.5005774720448634,0.17652753802913262,0.18814244915287978,0.007663090458134116
26,SVC,0.5614848587739186,0.2067077265377495,0.46582378973683325,0.19160002841195034,0.01070077919240038,0.0004649287064349039
27,KNeighborsClassifier (k=3),0.40977205040242537,0.18824884877453993,0.43992873792873793,0.18067873699899528,0.0011954947764968016,0.00013915963992752484
27,MLPClassifier,0.601065218147192,0.15541719750426708,0.5177300477300477,0.16347473382707833,0.3342579251836502,0.038600666686541954
27,RandomForestClassifier,0.5772974833377118,0.18927275146525452,0.4697410922410923,0.13426524185678942,0.1936889011854806,0.013399969850262705
27,SVC,0.5600042875545037,0.2054258913552058,0.4594740814740815,0.13502240862327744,0.010902303408430371,0.00057376430958772
28,KNeighborsClassifier (k=3),0.44142517760385963,0.1899069718119136,0.4191597846597847,0.1745870011510879,0.0011624726768267074,0.00012970974202575192
28,MLPClassifier,0.5866374372269637,0.1445379915303842,0.5306862026862027,0.12201841235331683,0.32753376017821473,0.04620147150746812
28,RandomForestClassifier,0.5707681503034243,0.21536524642657534,0.512029082029082,0.17716650682169094,0.1856773455354934,0.0037551288748782436
28,SVC,0.5411480990063956,0.1978831058765656,0.4706627816627817,0.09304176162589349,0.010679567392799072,0.0003831404991673054
29,KNeighborsClassifier (k=3),0.4253448464152074,0.18834339789913204,0.4584089521589521,0.1512379352618463,0.0011148154454562686,6.997051485546677e-05
29,MLPClassifier,0.6117166103118457,0.1454087862741458,0.5429251304251305,0.1497999673093595,0.3056763652747232,0.027623767607027994
29,RandomForestClassifier,0.5721959090461057,0.1977242433430591,0.5004530192030192,0.14256116163020763,0.18512184886314006,0.006462455321897692
29,SVC,0.5593512052143865,0.22950199157393095,0.5100732600732601,0.14189189122279208,0.010657376241930439,0.0005458782219442412
30,KNeighborsClassifier (k=3),0.43994033353688083,0.1963916963590892,0.45302109002109,0.18409740515555711,0.0011228548673292002,0.00012024719955040767
30,MLPClassifier,0.5932955333642089,0.18178951152329628,0.5457586302586303,0.1485728145553413,0.3261738905314511,0.03543684177426594
30,RandomForestClassifier,0.563963365691891,0.23927083712056016,0.4994741924741925,0.1607442888562731,0.18720864469942172,0.00853583640699238
30,SVC,0.5425649524454705,0.2396759946062617,0.48157281607281605,0.12161760670016801,0.010814995032948598,0.0009411426443012623
31,KNeighborsClassifier (k=3),0.4376780666042126,0.17874967754801876,0.4767469709777402,0.1572624577256478,0.0012157006121631111,0.00020884331236688426
31,MLPClassifier,0.619437536668948,0.15601978451217788,0.5922936038320654,0.16679453766958624,0.3121098769042874,0.032987907132833
31,RandomForestClassifier,0.5695472310365806,0.23408206706706197,0.4996066967220813,0.14083404052140777,0.19202148222464002,0.00925738194298025
31,SVC,0.5541280181077327,0.22431335594422983,0.5114515826054288,0.13161847089766018,0.010869150676655644,0.0005010959560178089
32,KNeighborsClassifier (k=3),0.4126786646224302,0.20867530305304982,0.45084685613531766,0.13569408038613834,0.001157976655576931,0.0001487539859859847
32,MLPClassifier,0.6449866025739053,0.16283682018594722,0.5739234056541749,0.20537366432692325,0.31001592771917785,0.03260810050981767
32,RandomForestClassifier,0.5835932784521162,0.23859500301525974,0.5118802671687287,0.1937300222559946,0.18967208625099374,0.008469725915922157
32,SVC,0.5510060558022409,0.2561908500019369,0.4793265495188572,0.19519597297610466,0.0109682185920974,0.0008345442675111596
33,KNeighborsClassifier (k=3),0.43493469842329957,0.2123548353763035,0.45504362535612536,0.1725760819103993,0.0012267542408539377,0.00024101405560199426
33,MLPClassifier,0.6232061621747401,0.164791719405218,0.5659390378140378,0.16057345812251392,0.3337496436050225,0.04027849665055982
33,RandomForestClassifier,0.5904074786885453,0.23996740191429075,0.4968851171976172,0.1502613312056212,0.19451436160836072,0.010472903742911526
33,SVC,0.5401085579258648,0.25130409776299467,0.4928026256151256,0.11857783545700759,0.0111413455769335,0.0007562869459682826
34,KNeighborsClassifier (k=3),0.4494114144535613,0.21796059334115664,0.43954430985680987,0.18396908617168867,0.0011342629988896934,7.87285688473242e-05
34,MLPClassifier,0.635421276253075,0.1687507874864253,0.5726378367003367,0.1486656183064458,0.31919759494057337,0.03872812710055714
34,RandomForestClassifier,0.5817268013746016,0.24348306253027738,0.4832633223258223,0.1375767007696488,0.18729417397116777,0.004264031234282578
34,SVC,0.5551611375103869,0.2691388105587137,0.4884734478484478,0.16602672117310097,0.010817797970102058,0.0005289201890728163
35,KNeighborsClassifier (k=3),0.43803013390364115,0.20446381534155608,0.4661095848595848,0.1599713437182162,0.0011217992885836532,6.898085300527441e-05
35,MLPClassifier,0.642317523387805,0.18250161051131691,0.5580439325631633,0.19016887300663549,0.30617726668590745,0.03075743953602667
35,RandomForestClassifier,0.5854114282164135,0.23857053723268162,0.5005999342537805,0.1586013944690543,0.18447705014259555,0.003492391421969155
35,SVC,0.5590985515519676,0.2550609199222788,0.4898686249647788,0.1568708822460452,0.010640173943413954,0.0004720080506001755
36,KNeighborsClassifier (k=3),0.4275080208032994,0.22645386678908136,0.4697172619047619,0.1617461240259486,0.0011978461956864016,0.0001865209161612166
36,MLPClassifier,0.6487433333435006,0.19179628914298996,0.5373895202020201,0.15443868875705688,0.3178999158327416,0.036636081303083816
36,RandomForestClassifier,0.5868343075972323,0.2567891008927214,0.48998992905242905,0.14782994781578085,0.19136952052940615,0.009221594938155248
36,SVC,0.5703239055831655,0.2827946378231472,0.4697706228956229,0.15709688640865438,0.011337038751662476,0.0008665245292795238
37,KNeighborsClassifier (k=3),0.41565873717576507,0.2327204383736433,0.4716653138528138,0.15019840947862137,0.0012162122434961635,0.00018673387081064163
37,MLPClassifier,0.6561363357907307,0.19557486069078053,0.5425099206349207,0.1753703708902824,0.330205603432291,0.038734899047612514
37,RandomForestClassifier,0.6055902463580867,0.27740432816984273,0.45744724025974026,0.17661701956149964,0.19541473013413377,0.009594478533677106
37,SVC,0.5787969630566212,0.28137692173111456,0.4616477272727273,0.17358560769100098,0.011136253053681119,0.0006367651269973387
38,KNeighborsClassifier (k=3),0.41463618736920027,0.23519604273109196,0.4952922077922078,0.16563052649989868,0.0011469239995533012,0.00013576247577084415
