feature_idx,feature_name,feature_group,importance_mean,importance_std
134,tempogram_ratio_bin7_std,Tempogram ratio,0.005462427,0.0011476078
117,tempogram_ratio_bin3_mean,Tempogram ratio,0.0054568034,0.005808818
16,mfcc_c3_std,MFCC,0.0054475474,0.0033676166
88,spectral_contrast_band4_mean,Spectral contrast,0.0054279966,0.003682664
121,tempogram_ratio_bin7_mean,Tempogram ratio,0.0053398646,0.0035627142
55,mfcc_delta2_c3_mean,MFCC-delta2,0.0052916966,0.0037190833
38,mfcc_delta_c12_mean,MFCC-delta,0.0052446206,0.0014146189
46,mfcc_delta_c7_std,MFCC-delta,0.0051789423,0.005125849
128,tempogram_ratio_bin1_std,Tempogram ratio,0.0051512048,0.005999456
74,mfcc_delta2_c9_std,MFCC-delta2,0.0050635473,0.0029847168
64,mfcc_delta2_c12_mean,MFCC-delta2,0.005032121,0.0011003936
80,spectral_bandwidth_mean,Spectral bandwidth,0.004989133,0.004776111
1,mfcc_c1_mean,MFCC,0.0049587945,0.0030288133
59,mfcc_delta2_c7_mean,MFCC-delta2,0.004902342,0.0028635645
82,spectral_flatness_mean,Spectral flatness,0.004882522,0.0045269984
115,tempogram_ratio_bin1_mean,Tempogram ratio,0.004765425,0.0044184173
126,tempogram_ratio_bin12_mean,Tempogram ratio,0.004574611,0.0031993506
129,tempogram_ratio_bin2_std,Tempogram ratio,0.004562323,0.00258335
73,mfcc_delta2_c8_std,MFCC-delta2,0.0045263483,0.0010104415
23,mfcc_c10_std,MFCC,0.0044296,0.004223365
119,tempogram_ratio_bin5_mean,Tempogram ratio,0.004412352,0.0058523
10,mfcc_c10_mean,MFCC,0.0043556215,0.0025884684
123,tempogram_ratio_bin9_mean,Tempogram ratio,0.00430853,0.006664997
118,tempogram_ratio_bin4_mean,Tempogram ratio,0.00400727,0.003865567
48,mfcc_delta_c9_std,MFCC-delta,0.003481277,0.0038196538
78,spectral_centroid_mean,Spectral centroid,0.0030270214,0.0027973074
72,mfcc_delta2_c7_std,MFCC-delta2,0.0028232343,0.0026597215
18,mfcc_c5_std,MFCC,0.0022471952,0.0031608248
